URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
https://constir1.github.io/ATTCK2FHIR/ValueSet/MITRE-ATTCK-Tactics,0.0.13,active,,MITREATTCKTacticsVS,VS MITRE ATT&CK Tactics,"All MITRE ATT&CK Enterprise Tactics, imported from the MITRE-ATTCK-Tactics CodeSystem.","StructureDefinition/fhirpot-audit-event","Internal"
https://constir1.github.io/ATTCK2FHIR/ValueSet/MITRE-ATTCK-Techniques,0.0.13,active,,MITREATTCKTechniquesVS,VS MITRE ATT&CK Techniques,"All MITRE ATT&CK Enterprise techniques, parent techniques and subtechniques combined. Use this binding when a single element must accept either form (e.g. AuditEvent.subtype on FHIRPotAuditEvent).","StructureDefinition/fhirpot-audit-event","Internal"
